display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,awards
I Remember You,,1,ANDY WEBSTER,Review: ‘I Remember You’ Is a Piercing Horror Film From Iceland,The director Oskar Thor Axelsson prefers mood and compelling human conflict over copious gore to deliver chills. The result is effective.,2017-11-09,2017-11-10,2017-11-09 12:04,NA,Drama,Óskar Thór Axelsson,"Óskar Thór Axelsson, Ottó Geir Borg, Yrsa Sigurðardóttir (novel)",Jóhannes Haukur Jóhannesson,2 nominations.
I'm Glad that My Mother is Alive,,1,STEPHEN HOLDEN,"The Aftershocks of an Adoption Long Ago, Felt by Everyone Involved","“I’m Glad My Mother Is Alive,” directed by the father-son team of Claude and Nathan Miller, focuses on the psychological profile of a boy who finds the woman who gave him up for adoption.",2011-09-01,2011-09-02,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
In Order of Disappearance,R,1,NEIL GENZLINGER,Review: ‘In Order of Disappearance’ Emits a Dash of ‘Fargo’,"Stellan Skarsgard stars in this dark comedy, in which drug dealers feel the wrath of a father who has lost his son.",2016-08-25,2016-08-26,2017-11-02 4:18,49284,Crime,Hans Petter Moland,Kim Fupz Aakeson,Kåre Conradi,3 wins & 10 nominations.
In The Family,Not Rated,1,PAUL BRUNICK,"Yours, Mine and Ours, Defined for a New Era","What it means to be a family is explored in Patrick Wang’s self-distributed film “In the Family,” which survived 30 rejections by film festivals.",2011-11-03,2011-11-04,2017-11-02 4:18,NA,Drama,Patrick Wang,Patrick Wang,Sebastian Banes,5 wins & 2 nominations.
In Transit,,1,BEN KENIGSBERG,"Review: ‘In Transit,’ and Oh, the Tales These Travelers Tell",Albert Maysles’s last documentary observes passengers traveling Amtrak’s route between Chicago and the Pacific Northwest.,2017-06-22,2017-06-23,2017-11-02 4:18,NA,Documentary,"Albert Maysles, Lynn True, David Usui, Nelson Walker III, Benjamin Wu",N/A,N/A,1 win & 4 nominations.
Indignation,R,1,STEPHEN HOLDEN,"Review: ‘Indignation’ Offers a Precisely Rendered, and Repressive, 1950s America","A period novel by Philip Roth, inspired by his own college years, is the basis of this tale about a young Jewish man and sex and morality in the Korean War era.",2016-07-28,2016-07-29,2017-11-02 4:18,3399841,Drama,James Schamus,"Philip Roth (based on the novel by), James Schamus (written for the screen by)",Tijuana Ricks,4 nominations.
Inherent Vice,R,1,MANOHLA DARGIS,"Noir Days of Sun, Los Angeles Smog and Marijuana Haze","&#8220;Inherent Vice,&#8221; Paul Thomas Anderson&#8217;s adaptation of the Thomas Pynchon novel, is a labyrinthine noir set in sunny Los Angeles, circa 1970.",2014-12-11,2015-01-09,2017-11-02 4:18,6100613,Comedy,Paul Thomas Anderson,"Paul Thomas Anderson (written for the screen by), Thomas Pynchon (based on the novel by)",Joanna Newsom,Nominated for 2 Oscars. Another 16 wins & 93 nominations.
Inside Job,PG-13,1,A. O. SCOTT,"Who Maimed the Economy, and How",Charles Ferguson’s documentary looks at the origins of the 2008 financial crisis.,2010-10-07,2010-11-12,2017-11-02 4:18,4311834,Documentary,Charles Ferguson,"Charles Ferguson, Chad Beck, Adam Bolt",Matt Damon,Won 1 Oscar. Another 7 wins & 26 nominations.
Inside Llewyn Davis,R,1,A. O. SCOTT,Melancholy Odyssey Through the Folk Scene,"“Inside Llewyn Davis” is an intoxicating, somewhat surreal ramble through the Greenwich Village folk scene in 1961.",2013-12-05,2014-01-10,2017-11-02 4:18,9666762,Drama,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen",Oscar Isaac,Nominated for 2 Oscars. Another 47 wins & 169 nominations.
Inside Out,PG,1,A. O. SCOTT,"Review: Pixar’s ‘Inside Out’ Finds the Joy in Sadness, and Vice Versa","Pete Docter’s new animated film, with the voices of television comedians like Amy Poehler, Mindy Kaling and Bill Hader, brings to life an 11-year-old’s interior drama.",2015-06-18,2015-06-19,2017-11-02 4:18,264317903,Animation,"Pete Docter, Ronnie Del Carmen(co-director)","Pete Docter (original story by), Ronnie Del Carmen (original story by), Pete Docter (screenplay by), Meg LeFauve (screenplay by), Josh Cooley (screenplay by), Michael Arndt (additional story material by), Simon Rich (additional story material by), Bill Hader (additional dialogue by), Amy Poehler (additional dialogue by)",Amy Poehler,Won 1 Oscar. Another 93 wins & 112 nominations.
Insidious: Chapter 3,PG-13,1,ANDY WEBSTER,Review: &#8216;Insidious: Chapter 3&#8217; Keeps a Franchise Rolling,"In this prequel to the original movie, directed by Leigh Whannell, a teenager enlists ghost hunters to try to connect with her dead mother.",2015-06-04,2015-06-05,2017-11-02 4:18,NA,Horror,Leigh Whannell,"Leigh Whannell, Leigh Whannell (characters)",Dermot Mulroney,3 wins & 10 nominations.
Interstellar,PG-13,1,A. O. SCOTT,"Off to the Stars, With Grief, Dread and Regret","In Christopher Nolan’s science-fiction parable “Interstellar,” Earth is dying, and a team of astronauts searches the universe for a new home for the human race.",2014-11-04,2014-11-07,2017-11-02 4:18,158737441,Adventure,Christopher Nolan,"Jonathan Nolan, Christopher Nolan",Ellen Burstyn,Won 1 Oscar. Another 43 wins & 143 nominations.
Into the Woods,PG,1,STEPHEN HOLDEN,The Quest for Storybook Endings in a Scary but Magical World,"&#8220;Into the Woods,&#8221; Rob Marshall&#8217;s Disney screen adaptation of the Stephen Sondheim-James Lapine musical, is a mash-up of Grimm fairy tales viewed through a post-Freudian prism.",2014-12-24,2014-12-25,2017-11-02 4:18,89789227,Adventure,Rob Marshall,"James Lapine (screenplay by), James Lapine (based on the musical by)",Anna Kendrick,Nominated for 3 Oscars. Another 11 wins & 71 nominations.
Iris,PG-13,1,MANOHLA DARGIS,"Review: In ‘Iris,’ Albert Maysles Explores Iris Apfel’s Style","Mr. Maysles&#8217;s penultimate documentary shows the 93-year-old Ms. Apfel in all her bedecked glory, and the confused reactions she elicits.",2015-04-28,2015-04-29,2017-11-02 4:18,5372026,Biography,Richard Eyre,"John Bayley (books), Richard Eyre (screenplay), Charles Wood (screenplay)",Kate Winslet,Won 1 Oscar. Another 13 wins & 31 nominations.
It Comes at Night,R,1,A.O. SCOTT,"Review: In ‘It Comes at Night,’ a House Full of Guns and Family Desperation",The sophomore feature by Trey Edward Shults is as spookily self-assured and ambitious as “Krisha.”,2017-06-08,2017-06-09,2017-11-02 4:18,13985117,Horror,Trey Edward Shults,Trey Edward Shults,Joel Edgerton,8 nominations.
It Felt Like Love,Not Rated,1,JEANNETTE CATSOULIS,Pursuing Sex With a Bad Boy,“It Felt Like Love” considers the dangers of teenage desire through the experiences of a coltish 14-year-old girl who randomly fixes on a weed-smoking tough guy.,2014-03-20,2014-03-21,2017-11-02 4:18,31173,Drama,Eliza Hittman,Eliza Hittman,Gina Piersanti,2 wins & 12 nominations.
It Follows,R,1,STEPHEN HOLDEN,"Review: In ‘It Follows,’ a Shape-Shifting Horror Stalks a Teenager","David Robert Mitchell&#8217;s second feature film is set in a Detroit suburb, where a deadly menace is passed from one person to another through sex.",2015-03-12,2015-03-27,2017-11-02 4:18,10705259,Horror,David Robert Mitchell,David Robert Mitchell,Bailey Spry,24 wins & 41 nominations.
J. Edgar,R,1,MANOHLA DARGIS,Finding the Humanity in the F.B.I.’s Feared Enforcer,“J. Edgar” is less the story of the public face of the F.B.I. than it is a look at the private man.,2011-11-08,2011-11-11,2017-11-02 4:18,37304451,Biography,Clint Eastwood,Dustin Lance Black,Leonardo DiCaprio,Nominated for 1 Golden Globe. Another 5 wins & 16 nominations.
Jackie,R,1,MANOHLA DARGIS,"‘Jackie’: Under the Widow’s Weeds, a Myth Marketer",Natalie Portman is perfect in Pablo Larraín’s multifaceted portrait of the former first lady Jacqueline Kennedy as an embodiment of grief and as an architect of brilliant political theater.,2016-12-01,2016-12-02,2017-11-02 4:18,13958679,Biography,Pablo Larraín,Noah Oppenheim,Natalie Portman,Nominated for 3 Oscars. Another 42 wins & 158 nominations.
"Jajouka, Something Good Comes to You",,1,MIRIAM BALE,"Moroccan Myth, Set to Music","“Jajouka, Something Good Comes to You,” playing at the Museum of Modern Art, tells the story of a band from a Moroccan village.",2013-08-05,2013-08-06,2017-11-02 4:18,NA,Documentary,"Eric Hurtado, Marc Hurtado","Eric Hurtado, Marc Hurtado",N/A,N/A
James White,R,1,STEPHEN HOLDEN,"Review: In ‘James White,’ Facing Adulthood With Uncertainty","The title character, played by Christopher Abbott, grapples with his future while caring for his ailing mother in this Josh Mond film.",2015-11-12,2015-11-13,2017-11-02 4:18,101368,Drama,Josh Mond,Josh Mond,Christopher Abbott,9 wins & 30 nominations.
Jane Eyre,PG-13,1,A. O. SCOTT,Radiant Spirit Blossoms in Barren Land,"Cary Joji Fukunaga’s “Jane Eyre,” starring Mia Wasikowska, is a splendid example of how to tackle the daunting duty of turning a beloved work of classic literature into a movie.",2011-03-10,2011-04-22,2017-11-02 4:18,NA,Drama,Cary Joji Fukunaga,"Charlotte Brontë (novel), Moira Buffini (screenplay)",Mia Wasikowska,Nominated for 1 Oscar. Another 10 wins & 14 nominations.
Jean-Michel Basquiat: The Radiant Child,,1,STEPHEN HOLDEN,"A Friend, an Artist and a Personal Interview","Tamra Davis’s documentary, a romantic depiction of Jean-Michel Basquiat, blazingly brings to life the artist’s work and its cultural context.",2010-07-20,2011-04-12,2017-11-02 4:18,256242,Documentary,Tamra Davis,"Eric Martin, Lois Vossen",Jean Michel Basquiat,1 win & 1 nomination.
"Jia Zhangke, a Guy From Fenyang",,1,GLENN KENNY,"Review: ‘Jia Zhangke, a Guy From Fenyang,’ a Portrait of a Visionary Filmmaker",The documentary is a decent and conscientious companion piece to Mr. Zhangke’s films.,2016-05-26,2016-05-27,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",,1,MANOHLA DARGIS,"Review: ‘Jim & Andy,’ When Carrey Became Kaufman","In his documentary about Jim Carrey, Andy Kaufman and the making of “Man on the Moon,” the director Chris Smith finds multiple realities and laughs.",2017-11-16,2017-11-17,2017-11-16 15:56,NA,NA,NA,NA,NA,NA
